id,name,quantity,price,description,item_type,brand,vat,weight,dimensions,composition,durability,voltage,amperage,power_inout,avg_lifespan,temperature_rating
WH4615,WireFlex 9,25,52.69,Flexible wiring harness.,wiringharness,BrandB,17.6,0.69,"(0.25, 0.25, 0.2)","{'Copper': 81, 'Plastic': 30}",high,42.0,15.9,667.8,10886,34
WH3542,SafeConnect 9,9,80.27,Flexible wiring harness.,wiringharness,BrandC,17.29,0.71,"(0.28, 0.21, 0.26)","{'Copper': 89, 'Plastic': 21}",low,35.4,15.4,545.16,11994,27
WH8244,WireFlex 9,46,64.32,Efficient wiring harness.,wiringharness,BrandA,17.62,0.94,"(0.21, 0.26, 0.28)","{'Copper': 73, 'Plastic': 26}",high,43.0,17.8,765.4,14782,48
WH9681,WireFlex 4,48,68.38,Reliable wiring harness.,wiringharness,BrandD,17.32,0.84,"(0.27, 0.29, 0.28)","{'Copper': 73, 'Plastic': 21}",high,43.4,12.2,529.48,10390,-17
WH9177,SafeConnect 6,14,80.02,Flexible wiring harness.,wiringharness,BrandB,17.69,0.78,"(0.21, 0.23, 0.22)","{'Copper': 90, 'Plastic': 17}",low,30.7,16.8,515.76,14790,-13
WH9557,CablePro 3,45,79.23,Flexible wiring harness.,wiringharness,BrandB,17.85,0.58,"(0.27, 0.3, 0.26)","{'Copper': 78, 'Plastic': 12}",undefined,15.1,12.8,193.28,14996,17
WH5182,SafeConnect 1,44,94.99,Durable wiring harness.,wiringharness,BrandC,17.96,0.61,"(0.21, 0.22, 0.23)","{'Copper': 74, 'Plastic': 14}",undefined,33.8,10.9,368.42,12062,42
WH9600,SafeConnect 1,42,83.35,Reliable wiring harness.,wiringharness,BrandB,17.92,0.52,"(0.28, 0.25, 0.26)","{'Copper': 84, 'Plastic': 11}",medium,28.7,11.4,327.18,11200,55
WH7916,CablePro 9,48,87.85,Flexible wiring harness.,wiringharness,BrandB,17.94,0.83,"(0.29, 0.26, 0.28)","{'Copper': 84, 'Plastic': 19}",high,23.6,10.2,240.72,10872,18
WH6412,CablePro 9,1,73.85,Flexible wiring harness.,wiringharness,BrandC,17.1,0.56,"(0.21, 0.27, 0.26)","{'Copper': 82, 'Plastic': 16}",high,40.5,14.3,579.15,14243,65
WH1432,CablePro 1,49,55.25,Durable wiring harness.,wiringharness,BrandB,17.68,0.84,"(0.28, 0.29, 0.27)","{'Copper': 80, 'Plastic': 17}",high,36.4,18.6,677.04,10192,44
WH8501,PowerLine 2,42,99.91,Durable wiring harness.,wiringharness,BrandA,17.58,0.7,"(0.24, 0.3, 0.29)","{'Copper': 80, 'Plastic': 15}",medium,29.7,10.5,311.85,10574,-17
WH3256,SafeConnect 7,28,52.0,Reliable wiring harness.,wiringharness,BrandC,17.15,0.78,"(0.21, 0.29, 0.23)","{'Copper': 79, 'Plastic': 16}",high,44.4,16.4,728.16,14797,21
WH3995,PowerLine 2,29,55.49,Reliable wiring harness.,wiringharness,BrandB,17.26,0.81,"(0.25, 0.27, 0.22)","{'Copper': 89, 'Plastic': 29}",undefined,14.0,16.1,225.4,13555,24
WH9030,PowerLine 9,14,80.03,Reliable wiring harness.,wiringharness,BrandD,17.3,0.85,"(0.21, 0.23, 0.2)","{'Copper': 77, 'Plastic': 10}",medium,41.0,15.8,647.8,10539,1
WH9741,WireFlex 7,32,51.28,Durable wiring harness.,wiringharness,BrandA,17.07,0.83,"(0.23, 0.24, 0.25)","{'Copper': 80, 'Plastic': 12}",high,40.7,15.4,626.78,11701,24
WH3176,PowerLine 1,28,50.03,Durable wiring harness.,wiringharness,BrandD,17.03,0.81,"(0.23, 0.28, 0.25)","{'Copper': 75, 'Plastic': 30}",low,34.0,13.8,469.2,12521,31
WH4762,SafeConnect 8,7,93.81,Reliable wiring harness.,wiringharness,BrandA,17.33,0.65,"(0.27, 0.2, 0.21)","{'Copper': 82, 'Plastic': 16}",medium,13.1,13.6,178.16,10370,-14
WH9159,CablePro 5,48,67.58,Reliable wiring harness.,wiringharness,BrandD,17.91,0.66,"(0.29, 0.22, 0.23)","{'Copper': 85, 'Plastic': 13}",low,35.3,18.2,642.46,13213,29
WH2318,PowerLine 6,35,55.94,Flexible wiring harness.,wiringharness,BrandA,17.18,0.93,"(0.22, 0.3, 0.28)","{'Copper': 77, 'Plastic': 16}",medium,39.7,10.6,420.82,14240,7
WH2364,WireFlex 5,39,60.85,Efficient wiring harness.,wiringharness,BrandD,17.91,0.81,"(0.24, 0.23, 0.21)","{'Copper': 73, 'Plastic': 29}",low,46.8,16.3,762.84,14422,12
WH1738,CablePro 5,38,68.66,Flexible wiring harness.,wiringharness,BrandC,17.87,0.83,"(0.27, 0.3, 0.3)","{'Copper': 73, 'Plastic': 27}",low,13.2,14.0,184.8,14573,78
WH6096,WireFlex 4,41,75.0,Reliable wiring harness.,wiringharness,BrandB,17.95,0.55,"(0.28, 0.2, 0.23)","{'Copper': 81, 'Plastic': 16}",medium,42.4,12.3,521.52,12893,47
WH3349,PowerLine 5,26,87.95,Flexible wiring harness.,wiringharness,BrandB,17.82,0.62,"(0.21, 0.24, 0.27)","{'Copper': 90, 'Plastic': 20}",high,47.5,14.9,707.75,11698,5
WH2121,SafeConnect 5,5,66.62,Durable wiring harness.,wiringharness,BrandD,17.63,0.78,"(0.22, 0.22, 0.22)","{'Copper': 70, 'Plastic': 22}",low,12.7,18.2,231.14,13788,11
WH3697,PowerLine 8,18,54.25,Flexible wiring harness.,wiringharness,BrandC,17.64,0.79,"(0.27, 0.26, 0.22)","{'Copper': 75, 'Plastic': 14}",medium,23.4,13.3,311.22,14350,-3
WH2922,SafeConnect 7,40,96.78,Reliable wiring harness.,wiringharness,BrandB,17.94,0.97,"(0.29, 0.22, 0.27)","{'Copper': 73, 'Plastic': 15}",low,41.5,13.0,539.5,14654,7
WH6012,PowerLine 6,45,73.29,Flexible wiring harness.,wiringharness,BrandA,17.84,0.98,"(0.27, 0.24, 0.26)","{'Copper': 83, 'Plastic': 27}",undefined,41.0,13.5,553.5,14712,40
WH7850,CablePro 6,18,93.42,Durable wiring harness.,wiringharness,BrandA,17.23,0.81,"(0.27, 0.29, 0.29)","{'Copper': 79, 'Plastic': 24}",medium,39.0,10.6,413.4,10409,34
WH2520,WireFlex 5,7,63.84,Efficient wiring harness.,wiringharness,BrandC,17.68,0.6,"(0.25, 0.26, 0.29)","{'Copper': 90, 'Plastic': 19}",high,40.3,13.4,540.02,10964,67
WH5715,WireFlex 7,25,99.03,Durable wiring harness.,wiringharness,BrandA,17.6,0.75,"(0.28, 0.25, 0.25)","{'Copper': 76, 'Plastic': 25}",undefined,12.2,12.0,146.4,10004,38
WH3569,WireFlex 7,21,86.67,Durable wiring harness.,wiringharness,BrandB,17.73,0.96,"(0.23, 0.26, 0.24)","{'Copper': 83, 'Plastic': 12}",low,43.5,19.4,843.9,12692,42
WH8416,CablePro 2,10,52.35,Reliable wiring harness.,wiringharness,BrandC,17.78,0.66,"(0.24, 0.28, 0.28)","{'Copper': 81, 'Plastic': 28}",medium,35.1,16.0,561.6,12549,7
WH3011,SafeConnect 1,40,77.16,Reliable wiring harness.,wiringharness,BrandC,17.28,0.71,"(0.23, 0.26, 0.28)","{'Copper': 77, 'Plastic': 17}",undefined,24.1,14.1,339.81,10975,31
WH6474,CablePro 4,48,86.5,Reliable wiring harness.,wiringharness,BrandA,17.01,0.95,"(0.28, 0.24, 0.27)","{'Copper': 74, 'Plastic': 27}",undefined,26.7,14.1,376.47,12852,50
WH3230,CablePro 9,40,58.67,Flexible wiring harness.,wiringharness,BrandC,17.59,0.78,"(0.29, 0.29, 0.3)","{'Copper': 71, 'Plastic': 15}",medium,41.4,11.7,484.38,13870,-18
WH1267,PowerLine 2,45,84.07,Durable wiring harness.,wiringharness,BrandD,17.06,0.74,"(0.3, 0.29, 0.29)","{'Copper': 83, 'Plastic': 11}",low,42.6,13.2,562.32,11492,-2
WH9149,CablePro 4,32,58.7,Efficient wiring harness.,wiringharness,BrandB,17.25,0.83,"(0.24, 0.27, 0.28)","{'Copper': 90, 'Plastic': 24}",high,34.3,12.6,432.18,14547,79
WH8924,WireFlex 9,50,57.85,Efficient wiring harness.,wiringharness,BrandB,17.28,0.83,"(0.3, 0.26, 0.22)","{'Copper': 73, 'Plastic': 12}",undefined,25.3,11.6,293.48,11927,21
WH6503,SafeConnect 2,1,98.3,Reliable wiring harness.,wiringharness,BrandA,17.21,0.84,"(0.29, 0.23, 0.2)","{'Copper': 90, 'Plastic': 29}",low,33.2,18.9,627.48,12361,60
WH8597,SafeConnect 6,41,75.43,Flexible wiring harness.,wiringharness,BrandA,17.25,0.65,"(0.27, 0.22, 0.22)","{'Copper': 85, 'Plastic': 19}",high,13.7,11.1,152.07,14052,1
WH9890,WireFlex 6,20,87.55,Flexible wiring harness.,wiringharness,BrandC,17.2,0.74,"(0.27, 0.23, 0.29)","{'Copper': 84, 'Plastic': 29}",low,13.3,17.8,236.74,12483,9
WH8919,SafeConnect 6,20,94.7,Efficient wiring harness.,wiringharness,BrandD,17.69,0.55,"(0.23, 0.29, 0.21)","{'Copper': 83, 'Plastic': 29}",medium,27.4,18.0,493.2,12910,-5
WH5970,SafeConnect 7,23,63.78,Efficient wiring harness.,wiringharness,BrandC,17.68,0.99,"(0.25, 0.21, 0.25)","{'Copper': 74, 'Plastic': 16}",high,26.5,12.4,328.6,11682,39
WH6260,SafeConnect 3,43,92.71,Flexible wiring harness.,wiringharness,BrandD,17.08,0.52,"(0.29, 0.28, 0.24)","{'Copper': 87, 'Plastic': 17}",undefined,44.8,13.8,618.24,11613,57
WH5972,PowerLine 2,33,95.36,Efficient wiring harness.,wiringharness,BrandD,17.07,0.62,"(0.25, 0.22, 0.3)","{'Copper': 79, 'Plastic': 28}",undefined,39.9,14.7,586.53,10628,45
WH7857,CablePro 8,43,53.52,Flexible wiring harness.,wiringharness,BrandC,17.43,0.53,"(0.22, 0.23, 0.2)","{'Copper': 82, 'Plastic': 26}",low,21.9,16.9,370.11,11223,51
WH2514,PowerLine 8,1,70.17,Durable wiring harness.,wiringharness,BrandD,17.87,0.93,"(0.23, 0.22, 0.23)","{'Copper': 77, 'Plastic': 18}",undefined,29.5,16.6,489.7,12954,30
WH3014,PowerLine 8,33,61.86,Efficient wiring harness.,wiringharness,BrandA,17.28,0.97,"(0.23, 0.29, 0.25)","{'Copper': 90, 'Plastic': 12}",low,45.7,12.4,566.68,12657,50
WH8996,CablePro 9,42,96.54,Reliable wiring harness.,wiringharness,BrandB,17.34,0.73,"(0.27, 0.29, 0.22)","{'Copper': 83, 'Plastic': 18}",undefined,30.9,12.7,392.43,14852,-8
WH1036,WireFlex 1,36,92.47,Reliable wiring harness.,wiringharness,BrandD,17.62,0.51,"(0.24, 0.2, 0.28)","{'Copper': 90, 'Plastic': 26}",medium,39.9,15.8,630.42,14676,-10
