id,name,quantity,price,description,item_type,brand,vat,weight,dimensions,composition,durability,primary_color,secondary_color,finish,protection_type
DT7495,Racing 2,15,127.4,High-quality decal/tint.,decalandtint,BrandA,17.42,0.7,"(1.07, 1.09, 1.16)","{'Vinyl': 83, 'Adhesive': 30}",high,F5DEB3,2980B9,matte,scratch
DT8194,Blackout 9,4,134.7,Custom decal/tint.,decalandtint,BrandC,17.52,0.87,"(1.06, 1.21, 1.29)","{'Vinyl': 89, 'Adhesive': 29}",high,D4AF37,DAA520,unfinished,scratch
DT6060,Blackout 3,25,129.4,Vibrant decal/tint.,decalandtint,BrandA,17.51,0.61,"(1.16, 1.09, 1.37)","{'Vinyl': 83, 'Adhesive': 11}",undefined,2F4F4F,2F4F4F,matte,dust
DT8757,Flame 6,14,103.52,Custom decal/tint.,decalandtint,BrandC,17.53,0.51,"(1.35, 1.4, 1.44)","{'Vinyl': 75, 'Adhesive': 16}",undefined,F5DEB3,8B4513,unfinished,uv
DT9249,Graphic 4,2,149.66,Durable decal/tint.,decalandtint,BrandA,17.5,0.85,"(1.22, 1.25, 1.08)","{'Vinyl': 86, 'Adhesive': 15}",low,FF5733,FF5733,unfinished,uv
DT1095,Custom 5,43,101.09,Custom decal/tint.,decalandtint,BrandA,17.46,0.65,"(1.04, 1.08, 1.43)","{'Vinyl': 90, 'Adhesive': 22}",undefined,2980B9,708090,glossy,uv
DT4815,Racing 5,3,121.38,Vibrant decal/tint.,decalandtint,BrandC,17.45,0.55,"(1.06, 1.05, 1.1)","{'Vinyl': 75, 'Adhesive': 15}",medium,2980B9,F5F5F5,matte,light
DT1076,Graphic 2,39,100.2,Durable decal/tint.,decalandtint,BrandA,17.6,0.52,"(1.35, 1.44, 1.44)","{'Vinyl': 80, 'Adhesive': 26}",undefined,2980B9,DAA520,matte,scratch
DT4814,Flame 3,3,139.31,High-quality decal/tint.,decalandtint,BrandC,17.46,0.5,"(1.3, 1.42, 1.04)","{'Vinyl': 84, 'Adhesive': 26}",medium,2F4F4F,2980B9,glossy,uv
DT1416,Graphic 7,44,114.08,High-quality decal/tint.,decalandtint,BrandC,17.56,0.55,"(1.28, 1.49, 1.3)","{'Vinyl': 87, 'Adhesive': 12}",high,F5DEB3,F5DEB3,matte,dust
