id,name,quantity,price,description,item_type,brand,vat,weight,dimensions,composition,durability,load_capacity,max_stress,tire_type
TI3986,SnowGrip 5,13,124.1,Optimized off_road tire.,tire,BrandE,17.42,14.81,"(0.66, 0.77, 0.61)","{'Rubber': 88, 'Steel': 11}",medium,343.0,968.6,off_road
TI8757,TrailRider 5,30,183.15,Reliable off_road tire.,tire,BrandC,17.35,11.34,"(0.78, 0.61, 0.67)","{'Rubber': 83, 'Steel': 14}",medium,582.5,726.7,off_road
TI7801,SnowGrip 8,12,142.53,Durable all_season tire.,tire,BrandE,17.41,12.08,"(0.78, 0.69, 0.76)","{'Rubber': 89, 'Steel': 12}",high,330.6,790.7,all_season
TI9417,TrailRider 9,38,146.76,High-performance off_road tire.,tire,BrandD,17.53,14.95,"(0.78, 0.69, 0.8)","{'Rubber': 87, 'Steel': 10}",low,550.7,842.4,off_road
TI7028,SnowGrip 3,17,170.75,Durable off_road tire.,tire,BrandD,17.41,10.19,"(0.61, 0.65, 0.71)","{'Rubber': 81, 'Steel': 20}",high,390.0,828.9,off_road
TI4362,SpeedMaster 9,11,184.11,Durable performance tire.,tire,BrandA,17.48,11.8,"(0.64, 0.75, 0.79)","{'Rubber': 80, 'Steel': 10}",high,381.2,923.7,performance
TI1770,EcoTread 7,43,157.93,High-performance summer tire.,tire,BrandD,17.54,10.81,"(0.77, 0.77, 0.62)","{'Rubber': 88, 'Steel': 19}",high,335.8,997.5,summer
TI9059,SnowGrip 5,50,123.69,High-performance performance tire.,tire,BrandA,17.34,11.99,"(0.78, 0.69, 0.68)","{'Rubber': 81, 'Steel': 14}",high,333.1,932.1,performance
TI9481,SpeedMaster 3,34,139.9,Optimized winter tire.,tire,BrandD,17.59,14.59,"(0.69, 0.76, 0.62)","{'Rubber': 80, 'Steel': 15}",medium,394.0,713.4,winter
TI9461,SpeedMaster 1,17,137.87,Optimized off_road tire.,tire,BrandA,17.31,11.29,"(0.77, 0.64, 0.64)","{'Rubber': 90, 'Steel': 15}",high,378.3,926.4,off_road
TI6848,SnowGrip 8,48,171.7,High-performance performance tire.,tire,BrandE,17.5,11.77,"(0.7, 0.65, 0.66)","{'Rubber': 87, 'Steel': 11}",medium,376.8,736.9,performance
TI5736,TrailRider 1,22,150.14,Durable summer tire.,tire,BrandE,17.43,10.14,"(0.69, 0.63, 0.71)","{'Rubber': 81, 'Steel': 11}",low,582.7,757.2,summer
TI4508,SpeedMaster 4,50,161.98,High-performance winter tire.,tire,BrandA,17.34,10.81,"(0.69, 0.63, 0.73)","{'Rubber': 81, 'Steel': 15}",medium,412.0,897.2,winter
