id,name,quantity,price,description,item_type,brand,vat,weight,dimensions,composition,durability,voltage,amperage,power_inout,avg_lifespan,temperature_rating,battery_type
BA4797,EnergyCore 4,26,240.6,Reliable battery.,battery,BrandD,17.6,3.05,"(0.35, 0.41, 0.39)","{'Lead': 59, 'Acid': 43}",undefined,17.4,124.6,2168.04,3228,20,nickel-cadmium
BA8102,AmpPro 1,3,148.88,High-capacity battery.,battery,BrandA,17.42,5.57,"(0.35, 0.42, 0.45)","{'Lead': 52, 'Acid': 47}",undefined,22.6,110.7,2501.82,3561,-3,lead acid
BA1502,EnergyCore 9,42,216.74,Reliable battery.,battery,BrandD,17.79,3.23,"(0.34, 0.47, 0.41)","{'Lead': 60, 'Acid': 41}",low,18.2,129.7,2360.54,3348,11,lead acid
BA7109,PowerMax 8,22,156.63,Reliable battery.,battery,BrandA,17.98,4.17,"(0.46, 0.33, 0.46)","{'Lead': 65, 'Acid': 31}",high,13.5,176.1,2377.35,3932,31,nickel-cadmium
BA4614,VoltPlus 7,38,173.85,Durable battery.,battery,BrandD,17.11,5.59,"(0.43, 0.49, 0.42)","{'Lead': 64, 'Acid': 33}",undefined,13.2,116.2,1533.84,4738,23,alkaline
BA7745,EnergyCore 2,6,114.27,Long-lasting battery.,battery,BrandC,17.17,4.47,"(0.35, 0.41, 0.46)","{'Lead': 63, 'Acid': 40}",undefined,20.4,169.0,3447.6,4314,0,nickel-cadmium
BA2130,AmpPro 9,46,117.64,Long-lasting battery.,battery,BrandB,17.32,5.51,"(0.4, 0.42, 0.43)","{'Lead': 51, 'Acid': 40}",low,17.3,127.5,2205.75,3571,27,nickel-cadmium
BA2996,PowerMax 4,6,234.14,Long-lasting battery.,battery,BrandA,17.24,4.57,"(0.34, 0.4, 0.44)","{'Lead': 57, 'Acid': 36}",undefined,17.7,190.3,3368.31,4615,19,alkaline
BA6918,AmpPro 3,31,175.6,High-capacity battery.,battery,BrandB,17.02,3.99,"(0.5, 0.36, 0.43)","{'Lead': 56, 'Acid': 49}",undefined,13.9,132.3,1838.97,3905,39,lead acid
BA1439,PowerMax 1,25,235.02,Durable battery.,battery,BrandC,17.15,3.5,"(0.4, 0.41, 0.44)","{'Lead': 60, 'Acid': 32}",medium,14.3,194.6,2782.78,4458,3,nickel-cadmium
BA1471,VoltPlus 7,32,197.12,High-capacity battery.,battery,BrandD,17.99,3.12,"(0.42, 0.49, 0.37)","{'Lead': 56, 'Acid': 40}",low,15.6,171.8,2680.08,3514,1,nickel-cadmium
BA6356,EnergyCore 4,30,135.59,Durable battery.,battery,BrandD,17.7,3.01,"(0.44, 0.44, 0.47)","{'Lead': 68, 'Acid': 31}",low,12.6,142.5,1795.5,3840,46,lithium-ion
BA5818,VoltPlus 3,24,123.03,Durable battery.,battery,BrandB,17.48,3.76,"(0.35, 0.48, 0.38)","{'Lead': 65, 'Acid': 47}",medium,20.7,155.2,3212.64,4503,24,alkaline
BA9501,EnergyCore 1,34,229.68,High-capacity battery.,battery,BrandA,17.03,4.82,"(0.44, 0.46, 0.42)","{'Lead': 56, 'Acid': 41}",medium,12.5,182.9,2286.25,3799,41,nickel-cadmium
BA1217,AmpPro 2,28,228.91,Long-lasting battery.,battery,BrandD,17.08,3.85,"(0.33, 0.31, 0.43)","{'Lead': 61, 'Acid': 47}",high,15.9,117.2,1863.48,4178,22,lead acid
BA3930,PowerMax 3,21,153.47,Long-lasting battery.,battery,BrandD,17.43,3.21,"(0.44, 0.49, 0.38)","{'Lead': 52, 'Acid': 31}",low,18.1,172.3,3118.63,3245,6,alkaline
BA6389,AmpPro 5,24,222.21,Durable battery.,battery,BrandA,17.21,3.77,"(0.47, 0.41, 0.34)","{'Lead': 52, 'Acid': 36}",high,14.1,200.0,2820.0,4297,19,nickel-cadmium
BA8013,PowerMax 4,21,169.83,Long-lasting battery.,battery,BrandD,17.85,5.1,"(0.49, 0.49, 0.36)","{'Lead': 54, 'Acid': 42}",high,14.6,195.2,2849.92,4422,33,nickel-cadmium
BA1541,VoltPlus 7,42,247.58,High-capacity battery.,battery,BrandC,17.43,5.33,"(0.43, 0.5, 0.44)","{'Lead': 65, 'Acid': 40}",high,19.0,187.8,3568.2,3840,23,nickel-cadmium
BA9279,VoltPlus 3,5,111.51,Long-lasting battery.,battery,BrandB,17.07,5.72,"(0.49, 0.36, 0.45)","{'Lead': 61, 'Acid': 41}",medium,16.9,171.1,2891.59,3865,-6,alkaline
BA6295,PowerMax 1,34,167.28,Reliable battery.,battery,BrandA,17.53,3.86,"(0.4, 0.42, 0.42)","{'Lead': 53, 'Acid': 49}",medium,22.9,192.9,4417.41,3438,32,lithium-ion
BA4594,AmpPro 4,7,146.4,High-capacity battery.,battery,BrandD,17.1,3.09,"(0.36, 0.37, 0.31)","{'Lead': 60, 'Acid': 37}",low,21.0,140.0,2940.0,4085,30,alkaline
BA2751,VoltPlus 4,42,227.22,High-capacity battery.,battery,BrandC,17.6,3.75,"(0.37, 0.33, 0.44)","{'Lead': 61, 'Acid': 47}",high,16.7,156.1,2606.87,3820,0,lithium-ion
BA6438,EnergyCore 8,7,211.62,Long-lasting battery.,battery,BrandD,17.53,3.73,"(0.35, 0.44, 0.47)","{'Lead': 67, 'Acid': 41}",high,14.7,154.3,2268.21,4265,40,lead acid
BA6384,PowerMax 3,30,199.77,High-capacity battery.,battery,BrandC,17.84,3.52,"(0.42, 0.32, 0.48)","{'Lead': 66, 'Acid': 37}",undefined,17.8,126.7,2255.26,4595,47,lead acid
BA1770,PowerMax 2,46,167.23,Long-lasting battery.,battery,BrandD,17.22,3.09,"(0.49, 0.39, 0.43)","{'Lead': 70, 'Acid': 50}",medium,17.2,196.0,3371.2,3534,29,lead acid
BA2088,VoltPlus 2,40,134.07,High-capacity battery.,battery,BrandD,17.5,4.29,"(0.47, 0.42, 0.31)","{'Lead': 64, 'Acid': 37}",low,13.0,157.4,2046.2,3657,8,lead acid
BA7167,AmpPro 2,2,179.87,High-capacity battery.,battery,BrandA,17.21,4.79,"(0.32, 0.5, 0.37)","{'Lead': 65, 'Acid': 45}",high,13.6,182.5,2482.0,3608,44,alkaline
BA9456,EnergyCore 1,17,168.56,Durable battery.,battery,BrandA,17.32,4.33,"(0.31, 0.49, 0.3)","{'Lead': 59, 'Acid': 30}",high,12.9,155.9,2011.11,3768,36,alkaline
BA8381,EnergyCore 4,12,159.26,Reliable battery.,battery,BrandC,17.4,3.05,"(0.37, 0.48, 0.32)","{'Lead': 54, 'Acid': 47}",low,17.5,120.4,2107.0,4629,18,alkaline
BA5203,VoltPlus 5,46,248.37,Long-lasting battery.,battery,BrandC,17.87,4.83,"(0.45, 0.3, 0.48)","{'Lead': 60, 'Acid': 37}",medium,18.4,141.1,2596.24,3375,21,alkaline
BA3981,VoltPlus 7,47,217.54,High-capacity battery.,battery,BrandA,17.34,4.67,"(0.33, 0.38, 0.35)","{'Lead': 55, 'Acid': 47}",undefined,22.2,152.8,3392.16,4236,0,nickel-cadmium
BA9807,AmpPro 6,3,207.17,Long-lasting battery.,battery,BrandC,17.18,4.42,"(0.37, 0.49, 0.36)","{'Lead': 67, 'Acid': 44}",medium,15.2,144.7,2199.44,4800,28,nickel-cadmium
BA5673,AmpPro 2,42,207.91,Durable battery.,battery,BrandC,17.73,5.58,"(0.32, 0.45, 0.39)","{'Lead': 66, 'Acid': 47}",medium,12.3,188.9,2323.47,3861,30,lithium-ion
BA8272,VoltPlus 9,9,132.97,Long-lasting battery.,battery,BrandA,17.85,5.09,"(0.45, 0.32, 0.47)","{'Lead': 65, 'Acid': 36}",undefined,20.4,148.7,3033.48,4422,35,lead acid
BA4841,VoltPlus 1,31,196.43,High-capacity battery.,battery,BrandD,17.32,5.08,"(0.31, 0.45, 0.34)","{'Lead': 53, 'Acid': 46}",low,16.9,106.5,1799.85,3463,46,lithium-ion
BA6483,AmpPro 8,47,195.59,High-capacity battery.,battery,BrandA,17.83,4.88,"(0.41, 0.41, 0.41)","{'Lead': 57, 'Acid': 40}",high,14.7,129.9,1909.53,4356,-8,lead acid
BA8125,VoltPlus 9,6,214.12,Durable battery.,battery,BrandD,17.61,5.19,"(0.34, 0.44, 0.3)","{'Lead': 66, 'Acid': 50}",low,22.3,181.6,4049.68,4280,24,lead acid
BA7649,VoltPlus 8,21,244.95,Durable battery.,battery,BrandB,17.14,5.48,"(0.39, 0.43, 0.5)","{'Lead': 59, 'Acid': 39}",medium,16.4,114.4,1876.16,4680,46,lead acid
BA8393,EnergyCore 9,45,187.94,Reliable battery.,battery,BrandD,17.12,3.58,"(0.38, 0.33, 0.46)","{'Lead': 66, 'Acid': 31}",low,12.9,147.3,1900.17,3886,-1,alkaline
BA6044,EnergyCore 6,14,231.45,High-capacity battery.,battery,BrandB,17.45,3.66,"(0.32, 0.42, 0.37)","{'Lead': 54, 'Acid': 48}",undefined,18.2,149.4,2719.08,3448,48,alkaline
BA3677,EnergyCore 3,31,215.21,High-capacity battery.,battery,BrandD,17.67,3.89,"(0.4, 0.3, 0.38)","{'Lead': 53, 'Acid': 44}",high,20.9,178.0,3720.2,3079,19,alkaline
BA1517,PowerMax 4,1,171.66,High-capacity battery.,battery,BrandB,17.62,4.56,"(0.31, 0.3, 0.36)","{'Lead': 66, 'Acid': 38}",medium,19.1,121.0,2311.1,3050,50,lead acid
BA8463,VoltPlus 2,42,232.48,Long-lasting battery.,battery,BrandA,17.83,4.74,"(0.34, 0.39, 0.31)","{'Lead': 57, 'Acid': 36}",medium,18.7,198.9,3719.43,4771,29,lithium-ion
BA6036,VoltPlus 4,31,208.1,Durable battery.,battery,BrandD,17.66,4.51,"(0.34, 0.47, 0.36)","{'Lead': 67, 'Acid': 46}",undefined,19.4,197.6,3833.44,4086,-8,lead acid
BA4158,PowerMax 2,15,185.16,High-capacity battery.,battery,BrandC,17.79,5.06,"(0.41, 0.48, 0.47)","{'Lead': 70, 'Acid': 43}",undefined,22.0,116.5,2563.0,3480,10,alkaline
BA8913,PowerMax 7,2,208.94,Long-lasting battery.,battery,BrandC,17.41,5.83,"(0.33, 0.31, 0.43)","{'Lead': 68, 'Acid': 33}",low,17.4,103.8,1806.12,4667,-6,lead acid
BA8392,VoltPlus 5,6,102.44,Reliable battery.,battery,BrandA,17.19,3.19,"(0.43, 0.45, 0.41)","{'Lead': 55, 'Acid': 49}",undefined,12.6,143.1,1803.06,4253,16,nickel-cadmium
