id,name,quantity,price,description,item_type,brand,vat,weight,dimensions,composition,durability,torque,horsepower,transmission_type
TR9257,DriveMax 9,18,1200.71,Durable cvt transmission.,transmission,BrandE,17.45,83.82,"(0.71, 0.52, 0.99)","{'Steel': 75, 'Iron': 25}",medium,327.4,180.4,CVT
TR5663,HeavyTorque 2,47,1417.96,Durable cvt transmission.,transmission,BrandA,17.43,122.72,"(1.16, 0.93, 1.46)","{'Copper': 50, 'Steel': 50}",high,260.7,211.0,CVT
TR9352,SwiftShift 4,25,2560.41,Efficient cvt transmission.,transmission,BrandC,17.35,106.26,"(1.09, 0.74, 1.08)","{'Copper': 50, 'Steel': 50}",medium,287.6,174.4,CVT
TR2368,DriveMax 1,33,1621.05,Durable cvt transmission.,transmission,BrandA,17.4,71.59,"(0.9, 0.85, 1.31)","{'Steel': 70, 'Aluminum': 30}",low,527.2,207.4,CVT
TR4494,SwiftShift 3,6,2785.16,Reliable manual transmission.,transmission,BrandA,17.39,120.56,"(1.11, 0.65, 1.23)","{'Steel': 60, 'Aluminum': 40}",medium,278.4,230.5,Manual
TR1173,ShiftPro 1,42,2684.66,Efficient manual transmission.,transmission,BrandA,17.5,121.75,"(0.86, 1.29, 0.81)","{'Copper': 50, 'Steel': 50}",low,486.9,121.2,Manual
TR7074,ShiftPro 3,43,1909.28,Smooth cvt transmission.,transmission,BrandA,17.55,111.87,"(0.83, 0.83, 1.44)","{'Aluminum': 80, 'Titanium': 20}",high,554.9,209.6,CVT
TR8618,DriveMax 2,46,1294.42,Durable cvt transmission.,transmission,BrandE,17.32,111.09,"(0.57, 0.75, 1.01)","{'Copper': 50, 'Steel': 50}",low,288.7,138.3,CVT
TR5078,DriveMax 7,6,2219.26,Efficient cvt transmission.,transmission,BrandA,17.31,99.83,"(1.08, 1.43, 1.18)","{'Steel': 60, 'Aluminum': 40}",low,566.0,246.1,CVT
TR3425,HeavyTorque 5,27,2687.49,Efficient cvt transmission.,transmission,BrandC,17.48,81.44,"(0.86, 0.64, 1.32)","{'Steel': 60, 'Aluminum': 40}",medium,457.8,143.4,CVT
TR6244,HeavyTorque 5,50,2847.41,Efficient cvt transmission.,transmission,BrandA,17.5,111.71,"(1.15, 1.12, 1.17)","{'Copper': 50, 'Steel': 50}",low,588.8,119.7,CVT
TR9227,ShiftPro 2,23,2434.99,Durable cvt transmission.,transmission,BrandE,17.46,101.1,"(1.42, 0.76, 0.58)","{'Steel': 60, 'Aluminum': 40}",low,587.0,233.1,CVT
TR6892,TurboClutch 5,38,2728.21,Smooth dual-clutch transmission.,transmission,BrandD,17.4,125.99,"(0.51, 1.44, 1.35)","{'Copper': 50, 'Steel': 50}",medium,208.3,154.2,Dual-Clutch
TR6525,TurboClutch 8,30,2253.62,Smooth automatic transmission.,transmission,BrandE,17.59,95.44,"(0.64, 1.09, 0.78)","{'Copper': 50, 'Steel': 50}",medium,383.3,199.1,Automatic
TR5779,ShiftPro 4,2,1408.2,Smooth cvt transmission.,transmission,BrandB,17.31,75.71,"(1.42, 1.0, 0.61)","{'Copper': 50, 'Steel': 50}",high,585.7,217.2,CVT
TR8043,HeavyTorque 2,18,1109.06,Efficient automatic transmission.,transmission,BrandC,17.52,116.37,"(0.98, 0.56, 0.73)","{'Copper': 50, 'Steel': 50}",high,200.2,140.1,Automatic
TR2091,TurboClutch 6,9,1943.41,Efficient cvt transmission.,transmission,BrandE,17.34,97.9,"(0.88, 0.69, 0.51)","{'Steel': 60, 'Aluminum': 40}",high,276.4,103.1,CVT
TR5556,HeavyTorque 1,29,2576.01,Reliable automatic transmission.,transmission,BrandE,17.4,74.61,"(1.15, 0.51, 1.4)","{'Copper': 50, 'Steel': 50}",medium,418.0,113.8,Automatic
TR4103,HeavyTorque 4,30,2526.75,Efficient dual-clutch transmission.,transmission,BrandB,17.32,82.21,"(1.19, 1.49, 0.51)","{'Steel': 70, 'Aluminum': 30}",low,269.2,175.8,Dual-Clutch
TR6092,DriveMax 4,18,1591.55,Reliable automatic transmission.,transmission,BrandA,17.49,71.41,"(0.69, 0.82, 1.48)","{'Steel': 60, 'Aluminum': 40}",low,404.8,240.6,Automatic
TR5166,HeavyTorque 7,2,1939.25,Smooth cvt transmission.,transmission,BrandB,17.43,74.59,"(0.94, 1.09, 1.03)","{'Steel': 60, 'Aluminum': 40}",medium,248.3,202.8,CVT
TR4834,SwiftShift 4,35,2442.93,Smooth cvt transmission.,transmission,BrandC,17.32,108.57,"(1.13, 1.08, 0.61)","{'Steel': 60, 'Aluminum': 40}",low,311.5,108.5,CVT
TR9361,DriveMax 6,15,1503.99,Durable automatic transmission.,transmission,BrandD,17.53,101.18,"(1.04, 0.83, 1.4)","{'Steel': 70, 'Aluminum': 30}",low,357.1,172.9,Automatic
TR4609,SwiftShift 5,37,1641.88,Smooth cvt transmission.,transmission,BrandB,17.44,108.84,"(1.31, 0.97, 1.42)","{'Steel': 75, 'Iron': 25}",high,296.3,211.3,CVT
TR7301,SwiftShift 9,42,2856.08,Smooth cvt transmission.,transmission,BrandC,17.55,121.08,"(1.2, 0.75, 1.15)","{'Steel': 75, 'Iron': 25}",high,274.3,120.9,CVT
TR6394,DriveMax 8,43,2333.3,Reliable manual transmission.,transmission,BrandE,17.47,91.69,"(1.09, 1.03, 1.49)","{'Copper': 50, 'Steel': 50}",medium,221.1,126.4,Manual
TR7258,ShiftPro 1,2,2471.72,Smooth dual-clutch transmission.,transmission,BrandD,17.43,72.62,"(0.78, 1.19, 0.87)","{'Steel': 60, 'Aluminum': 40}",low,457.4,168.1,Dual-Clutch
TR5348,SwiftShift 1,24,1550.69,Smooth manual transmission.,transmission,BrandA,17.45,81.31,"(0.86, 1.29, 0.95)","{'Aluminum': 80, 'Titanium': 20}",high,597.9,186.2,Manual
TR7557,HeavyTorque 8,26,1874.69,Durable cvt transmission.,transmission,BrandA,17.45,89.57,"(0.86, 0.77, 0.89)","{'Aluminum': 80, 'Titanium': 20}",high,500.0,101.7,CVT
TR3641,DriveMax 7,39,1045.98,Efficient cvt transmission.,transmission,BrandB,17.34,110.33,"(1.41, 1.33, 1.08)","{'Steel': 70, 'Aluminum': 30}",low,326.0,101.9,CVT
TR7368,HeavyTorque 2,29,1217.56,Reliable automatic transmission.,transmission,BrandB,17.58,96.75,"(0.59, 1.11, 1.44)","{'Copper': 50, 'Steel': 50}",low,512.3,103.4,Automatic
TR5185,TurboClutch 4,26,1289.44,Efficient manual transmission.,transmission,BrandB,17.45,120.36,"(1.25, 0.91, 0.69)","{'Copper': 50, 'Steel': 50}",low,397.2,236.3,Manual
TR6121,DriveMax 7,44,2503.8,Durable manual transmission.,transmission,BrandC,17.37,128.68,"(0.8, 1.05, 1.2)","{'Steel': 70, 'Aluminum': 30}",low,329.0,174.6,Manual
TR8523,HeavyTorque 3,45,1276.64,Durable cvt transmission.,transmission,BrandD,17.56,82.79,"(0.89, 1.47, 0.94)","{'Aluminum': 80, 'Titanium': 20}",low,456.5,124.5,CVT
TR5506,SwiftShift 7,21,1797.4,Efficient cvt transmission.,transmission,BrandE,17.51,73.39,"(1.4, 1.48, 1.22)","{'Steel': 70, 'Aluminum': 30}",high,367.8,170.1,CVT
TR1648,DriveMax 8,28,1954.98,Reliable dual-clutch transmission.,transmission,BrandD,17.34,111.53,"(0.93, 0.78, 1.31)","{'Aluminum': 80, 'Titanium': 20}",high,464.6,173.3,Dual-Clutch
TR5768,HeavyTorque 5,28,1925.15,Efficient manual transmission.,transmission,BrandA,17.51,116.67,"(0.93, 0.56, 0.93)","{'Steel': 60, 'Aluminum': 40}",low,476.9,113.1,Manual
TR3044,HeavyTorque 1,32,2557.89,Smooth automatic transmission.,transmission,BrandC,17.42,77.71,"(0.76, 0.52, 1.45)","{'Aluminum': 80, 'Titanium': 20}",medium,470.0,156.0,Automatic
TR5761,DriveMax 9,23,2168.73,Smooth cvt transmission.,transmission,BrandC,17.46,116.4,"(0.73, 1.13, 1.11)","{'Copper': 50, 'Steel': 50}",low,429.9,191.2,CVT
TR4924,HeavyTorque 3,13,1121.28,Durable cvt transmission.,transmission,BrandD,17.56,90.79,"(0.75, 0.95, 1.36)","{'Copper': 50, 'Steel': 50}",medium,230.3,138.1,CVT
TR3390,HeavyTorque 8,43,2202.2,Smooth manual transmission.,transmission,BrandD,17.47,109.26,"(0.52, 1.42, 0.88)","{'Steel': 60, 'Aluminum': 40}",high,338.3,178.4,Manual
TR3636,ShiftPro 6,12,2350.21,Smooth automatic transmission.,transmission,BrandE,17.39,118.64,"(1.49, 1.49, 0.82)","{'Steel': 70, 'Aluminum': 30}",high,379.6,161.0,Automatic
TR1779,SwiftShift 7,5,1392.38,Smooth automatic transmission.,transmission,BrandD,17.32,80.22,"(0.94, 1.18, 1.14)","{'Copper': 50, 'Steel': 50}",low,592.4,222.9,Automatic
TR5277,TurboClutch 7,32,1584.65,Smooth dual-clutch transmission.,transmission,BrandD,17.45,119.15,"(1.25, 0.79, 0.51)","{'Steel': 60, 'Aluminum': 40}",medium,261.6,174.9,Dual-Clutch
TR2544,TurboClutch 8,40,2938.46,Durable dual-clutch transmission.,transmission,BrandD,17.44,123.59,"(1.19, 0.81, 1.42)","{'Copper': 50, 'Steel': 50}",high,350.3,204.4,Dual-Clutch
TR7741,ShiftPro 5,48,1515.2,Efficient automatic transmission.,transmission,BrandC,17.51,120.27,"(0.53, 0.88, 0.58)","{'Copper': 50, 'Steel': 50}",high,322.3,183.8,Automatic
TR7081,DriveMax 6,24,1089.63,Smooth dual-clutch transmission.,transmission,BrandD,17.31,88.33,"(1.42, 1.08, 0.98)","{'Steel': 70, 'Aluminum': 30}",high,372.6,244.0,Dual-Clutch
TR9283,ShiftPro 8,36,2290.09,Durable cvt transmission.,transmission,BrandD,17.57,107.63,"(0.69, 0.99, 0.81)","{'Steel': 70, 'Aluminum': 30}",high,326.9,215.0,CVT
TR5804,SwiftShift 5,28,1705.73,Durable cvt transmission.,transmission,BrandD,17.4,98.14,"(0.97, 1.32, 0.57)","{'Copper': 50, 'Steel': 50}",medium,269.7,128.4,CVT
TR7717,SwiftShift 8,30,2307.86,Durable dual-clutch transmission.,transmission,BrandA,17.52,82.0,"(1.05, 1.42, 0.92)","{'Aluminum': 80, 'Titanium': 20}",low,431.6,248.1,Dual-Clutch
TR2648,DriveMax 1,45,2701.51,Smooth cvt transmission.,transmission,BrandB,17.4,114.16,"(1.32, 0.91, 0.93)","{'Steel': 70, 'Aluminum': 30}",high,583.6,195.6,CVT
TR8665,SwiftShift 9,35,2584.89,Efficient automatic transmission.,transmission,BrandA,17.49,129.18,"(1.44, 1.3, 0.83)","{'Steel': 70, 'Aluminum': 30}",medium,598.0,106.0,Automatic
TR6745,SwiftShift 4,26,2226.89,Smooth cvt transmission.,transmission,BrandC,17.58,96.24,"(0.68, 0.61, 0.82)","{'Steel': 70, 'Aluminum': 30}",medium,273.2,195.5,CVT
TR2044,ShiftPro 2,17,1805.44,Reliable manual transmission.,transmission,BrandB,17.46,109.77,"(1.07, 0.97, 0.66)","{'Steel': 70, 'Aluminum': 30}",medium,522.4,195.8,Manual
TR1943,HeavyTorque 9,40,2685.25,Smooth automatic transmission.,transmission,BrandA,17.46,122.33,"(1.41, 1.27, 1.03)","{'Steel': 75, 'Iron': 25}",high,231.6,189.4,Automatic
TR8981,TurboClutch 4,14,2529.97,Durable manual transmission.,transmission,BrandD,17.46,81.41,"(1.18, 1.2, 1.43)","{'Aluminum': 80, 'Titanium': 20}",medium,381.9,156.1,Manual
TR2359,ShiftPro 9,40,1856.89,Efficient manual transmission.,transmission,BrandB,17.37,124.01,"(0.58, 0.7, 1.18)","{'Aluminum': 80, 'Titanium': 20}",high,522.6,234.6,Manual
TR6373,DriveMax 2,48,1510.81,Efficient automatic transmission.,transmission,BrandC,17.55,102.89,"(1.15, 0.55, 1.36)","{'Steel': 60, 'Aluminum': 40}",high,307.0,171.2,Automatic
TR2872,DriveMax 6,6,1362.38,Efficient dual-clutch transmission.,transmission,BrandD,17.31,86.79,"(1.04, 0.58, 0.65)","{'Steel': 75, 'Iron': 25}",low,484.6,223.0,Dual-Clutch
TR2716,SwiftShift 7,3,1365.07,Durable dual-clutch transmission.,transmission,BrandE,17.34,117.42,"(0.82, 1.19, 1.1)","{'Steel': 75, 'Iron': 25}",low,333.7,171.1,Dual-Clutch
TR6548,TurboClutch 8,16,1576.09,Durable cvt transmission.,transmission,BrandB,17.54,91.89,"(0.91, 1.2, 1.0)","{'Steel': 75, 'Iron': 25}",low,479.7,131.5,CVT
TR8478,ShiftPro 3,21,2435.45,Reliable dual-clutch transmission.,transmission,BrandC,17.49,118.36,"(0.75, 1.34, 0.74)","{'Steel': 60, 'Aluminum': 40}",low,555.8,103.2,Dual-Clutch
TR8867,DriveMax 3,32,2789.52,Durable cvt transmission.,transmission,BrandE,17.47,90.17,"(1.5, 0.63, 1.22)","{'Steel': 75, 'Iron': 25}",low,254.1,238.4,CVT
TR5818,SwiftShift 4,9,2133.76,Efficient manual transmission.,transmission,BrandC,17.6,120.72,"(1.26, 1.21, 1.14)","{'Steel': 70, 'Aluminum': 30}",medium,397.3,144.2,Manual
TR1797,DriveMax 1,24,2202.11,Durable manual transmission.,transmission,BrandE,17.49,103.06,"(1.06, 0.57, 0.61)","{'Steel': 75, 'Iron': 25}",high,260.3,235.0,Manual
TR7920,SwiftShift 4,20,1564.56,Durable dual-clutch transmission.,transmission,BrandD,17.45,71.59,"(0.94, 0.69, 1.47)","{'Copper': 50, 'Steel': 50}",medium,319.5,200.4,Dual-Clutch
TR6150,HeavyTorque 2,1,2099.99,Smooth automatic transmission.,transmission,BrandD,17.32,82.95,"(0.57, 0.64, 1.13)","{'Copper': 50, 'Steel': 50}",medium,246.0,182.7,Automatic
TR4719,ShiftPro 1,9,1637.3,Reliable automatic transmission.,transmission,BrandA,17.51,84.99,"(1.08, 0.99, 0.99)","{'Steel': 70, 'Aluminum': 30}",medium,358.9,241.9,Automatic
TR2392,SwiftShift 1,26,2883.13,Efficient manual transmission.,transmission,BrandA,17.54,110.76,"(0.85, 0.7, 0.83)","{'Copper': 50, 'Steel': 50}",high,589.6,243.3,Manual
TR3380,ShiftPro 2,4,1662.39,Durable cvt transmission.,transmission,BrandC,17.47,114.06,"(0.86, 1.25, 1.02)","{'Aluminum': 80, 'Titanium': 20}",high,299.4,236.4,CVT
TR9035,HeavyTorque 6,33,1081.8,Durable cvt transmission.,transmission,BrandC,17.52,118.56,"(1.15, 0.76, 1.33)","{'Copper': 50, 'Steel': 50}",medium,320.3,241.1,CVT
TR4413,HeavyTorque 9,28,2936.67,Reliable manual transmission.,transmission,BrandA,17.35,88.98,"(1.05, 1.35, 0.84)","{'Steel': 70, 'Aluminum': 30}",high,516.6,208.8,Manual
TR9552,TurboClutch 8,26,1314.65,Durable manual transmission.,transmission,BrandC,17.49,119.19,"(1.29, 1.18, 0.85)","{'Copper': 50, 'Steel': 50}",high,361.7,173.6,Manual
TR5050,DriveMax 9,7,1879.02,Smooth automatic transmission.,transmission,BrandB,17.32,104.57,"(0.69, 1.1, 0.7)","{'Steel': 60, 'Aluminum': 40}",low,251.5,190.2,Automatic
