id,name,quantity,price,description,item_type,brand,vat,weight,dimensions,composition,durability,primary_color,secondary_color,finish,protection_type
SC1511,Premium 5,30,245.07,Scratch-resistant seat cover.,seatandcover,BrandC,17.45,3.08,"(1.44, 1.23, 1.13)","{'Leather': 71, 'Foam': 38}",medium,FF0000,2980B9,unfinished,dust
SC1866,Luxury 1,24,219.19,Comfortable seat cover.,seatandcover,BrandC,17.57,2.78,"(1.4, 1.07, 1.38)","{'Leather': 80, 'Foam': 35}",high,2980B9,2F4F4F,unfinished,dust
SC7724,Comfy 1,35,164.61,Comfortable seat cover.,seatandcover,BrandA,17.46,3.64,"(1.36, 1.34, 1.4)","{'Leather': 73, 'Foam': 30}",low,FF0000,DAA520,matte,scratch
SC4293,Luxury 9,3,116.77,Scratch-resistant seat cover.,seatandcover,BrandB,17.5,3.99,"(1.42, 1.39, 1.06)","{'Leather': 62, 'Foam': 36}",low,FF0000,708090,matte,light
SC4286,Luxury 1,32,219.95,Scratch-resistant seat cover.,seatandcover,BrandC,17.59,3.13,"(1.05, 1.07, 1.26)","{'Leather': 79, 'Foam': 23}",medium,FF0000,F5DEB3,unfinished,uv
SC8088,Premium 8,15,120.01,Luxurious seat cover.,seatandcover,BrandC,17.57,3.83,"(1.38, 1.24, 1.05)","{'Leather': 74, 'Foam': 20}",low,F5DEB3,DAA520,matte,uv
SC9225,Premium 5,33,212.37,Scratch-resistant seat cover.,seatandcover,BrandA,17.41,2.82,"(1.35, 1.49, 1.37)","{'Leather': 75, 'Foam': 34}",undefined,D4AF37,F5F5F5,matte,dust
SC2984,Comfy 2,29,145.93,Durable seat cover.,seatandcover,BrandB,17.58,3.06,"(1.23, 1.17, 1.16)","{'Leather': 80, 'Foam': 20}",high,D4AF37,FF5733,unfinished,light
SC7923,Luxury 2,11,108.58,Comfortable seat cover.,seatandcover,BrandA,17.44,3.53,"(1.3, 1.15, 1.11)","{'Leather': 63, 'Foam': 32}",medium,DAA520,2F4F4F,matte,dust
SC6196,UltraSoft 4,36,244.7,Durable seat cover.,seatandcover,BrandC,17.51,3.9,"(1.23, 1.14, 1.36)","{'Leather': 66, 'Foam': 32}",high,8B4513,2F4F4F,matte,light
SC1556,Comfy 9,3,140.94,Comfortable seat cover.,seatandcover,BrandC,17.48,3.33,"(1.41, 1.43, 1.41)","{'Leather': 77, 'Foam': 28}",low,F5DEB3,708090,glossy,scratch
SC1968,UltraSoft 1,40,131.04,Durable seat cover.,seatandcover,BrandA,17.43,3.15,"(1.2, 1.33, 1.17)","{'Leather': 72, 'Foam': 29}",medium,DAA520,F5F5F5,matte,scratch
SC3331,Luxury 2,32,162.27,Luxurious seat cover.,seatandcover,BrandA,17.55,3.6,"(1.2, 1.17, 1.22)","{'Leather': 72, 'Foam': 31}",undefined,2F4F4F,2980B9,unfinished,light
SC2505,Luxury 9,31,168.96,Scratch-resistant seat cover.,seatandcover,BrandC,17.49,3.62,"(1.2, 1.18, 1.39)","{'Leather': 70, 'Foam': 38}",medium,FF5733,2980B9,glossy,dust
SC9409,Comfy 8,33,143.72,Durable seat cover.,seatandcover,BrandC,17.47,3.06,"(1.25, 1.49, 1.19)","{'Leather': 76, 'Foam': 33}",medium,F5DEB3,2980B9,matte,scratch
SC2204,UltraSoft 6,40,153.2,Comfortable seat cover.,seatandcover,BrandC,17.55,3.15,"(1.19, 1.34, 1.26)","{'Leather': 79, 'Foam': 37}",medium,F5F5F5,FF5733,matte,uv
SC6885,Premium 1,32,173.22,Durable seat cover.,seatandcover,BrandC,17.46,2.94,"(1.29, 1.33, 1.04)","{'Leather': 79, 'Foam': 30}",high,8B4513,2980B9,glossy,uv
SC3297,Comfy 3,28,145.2,Durable seat cover.,seatandcover,BrandB,17.42,2.73,"(1.18, 1.28, 1.46)","{'Leather': 78, 'Foam': 32}",medium,2F4F4F,2F4F4F,unfinished,dust
SC9690,Luxury 1,1,195.53,Durable seat cover.,seatandcover,BrandC,17.53,2.55,"(1.39, 1.46, 1.39)","{'Leather': 75, 'Foam': 33}",high,FF5733,8B4513,unfinished,dust
SC8293,Comfy 8,4,180.25,Comfortable seat cover.,seatandcover,BrandB,17.58,3.9,"(1.03, 1.37, 1.14)","{'Leather': 77, 'Foam': 29}",high,FF0000,D4AF37,matte,uv
SC8858,Luxury 7,50,153.12,Durable seat cover.,seatandcover,BrandC,17.57,2.58,"(1.44, 1.33, 1.25)","{'Leather': 75, 'Foam': 33}",undefined,DAA520,FF0000,matte,uv
SC1072,UltraSoft 5,41,149.68,Scratch-resistant seat cover.,seatandcover,BrandB,17.5,3.81,"(1.03, 1.41, 1.32)","{'Leather': 77, 'Foam': 27}",undefined,D4AF37,FF0000,matte,dust
SC2464,Premium 4,32,188.14,Durable seat cover.,seatandcover,BrandC,17.41,3.28,"(1.24, 1.32, 1.46)","{'Leather': 62, 'Foam': 25}",low,F5DEB3,DAA520,unfinished,uv
SC2620,Comfy 3,36,167.97,Luxurious seat cover.,seatandcover,BrandB,17.43,3.62,"(1.18, 1.41, 1.18)","{'Leather': 77, 'Foam': 25}",high,FF5733,FF0000,glossy,scratch
SC8656,Luxury 8,40,114.01,Durable seat cover.,seatandcover,BrandB,17.52,2.82,"(1.05, 1.21, 1.01)","{'Leather': 69, 'Foam': 21}",undefined,FF0000,8B4513,unfinished,scratch
SC4354,Comfy 5,35,217.58,Luxurious seat cover.,seatandcover,BrandA,17.51,3.79,"(1.39, 1.38, 1.08)","{'Leather': 74, 'Foam': 28}",medium,F5DEB3,FF0000,glossy,dust
SC9270,Premium 1,50,134.83,Comfortable seat cover.,seatandcover,BrandB,17.41,2.66,"(1.05, 1.01, 1.18)","{'Leather': 77, 'Foam': 40}",medium,F5F5F5,708090,unfinished,scratch
