id,name,quantity,price,description,item_type,brand,vat,weight,dimensions,composition,durability,max_stress,suspension_type
SU5725,SmoothDrive 5,41,226.28,Durable hydraulic suspension.,suspension,BrandC,17.52,9.49,"(0.79, 0.76, 0.52)","{'Steel': 65, 'Rubber': 35}",high,1776.8,hydraulic
SU6358,AirRide 2,49,256.2,Durable coilover suspension.,suspension,BrandB,17.42,8.78,"(0.74, 0.53, 0.79)","{'Steel': 71, 'Rubber': 40}",medium,1491.2,coilover
SU2484,SmoothDrive 4,2,217.35,Advanced coilover suspension.,suspension,BrandA,17.54,7.02,"(0.67, 0.71, 0.51)","{'Steel': 79, 'Rubber': 24}",high,1371.8,coilover
SU2916,SpringFlex 2,4,179.98,Reliable air suspension.,suspension,BrandA,17.5,8.72,"(0.51, 0.59, 0.64)","{'Steel': 62, 'Rubber': 22}",medium,1257.6,air
SU6056,AirRide 8,1,166.51,Durable air suspension.,suspension,BrandC,17.48,9.25,"(0.57, 0.59, 0.57)","{'Steel': 75, 'Rubber': 38}",low,1207.7,air
SU6185,ShockMaster 6,21,247.41,High-performance hydraulic suspension.,suspension,BrandB,17.54,9.58,"(0.6, 0.7, 0.51)","{'Steel': 68, 'Rubber': 37}",medium,1455.4,hydraulic
SU2663,ShockMaster 7,30,198.16,Advanced air suspension.,suspension,BrandE,17.48,9.46,"(0.57, 0.72, 0.58)","{'Steel': 78, 'Rubber': 22}",high,1286.4,air
SU2170,AirRide 1,48,235.55,High-performance spring suspension.,suspension,BrandC,17.5,8.83,"(0.74, 0.69, 0.72)","{'Steel': 76, 'Rubber': 30}",low,1370.4,spring
SU4418,TrailShock 5,29,162.28,High-performance air suspension.,suspension,BrandC,17.44,8.33,"(0.71, 0.52, 0.68)","{'Steel': 71, 'Rubber': 35}",low,1691.9,air
SU8303,TrailShock 9,6,195.12,High-performance spring suspension.,suspension,BrandC,17.41,8.52,"(0.65, 0.55, 0.57)","{'Steel': 72, 'Rubber': 23}",low,1243.2,spring
SU6159,ShockMaster 7,27,271.25,Durable hydraulic suspension.,suspension,BrandA,17.54,9.95,"(0.63, 0.76, 0.71)","{'Steel': 76, 'Rubber': 20}",low,1517.3,hydraulic
SU4324,SmoothDrive 4,15,292.11,High-performance spring suspension.,suspension,BrandA,17.43,8.98,"(0.77, 0.54, 0.67)","{'Steel': 80, 'Rubber': 24}",high,1683.5,spring
SU1812,AirRide 2,11,290.17,High-performance air suspension.,suspension,BrandC,17.33,8.48,"(0.61, 0.79, 0.56)","{'Steel': 79, 'Rubber': 23}",medium,1611.2,air
SU3314,SmoothDrive 5,22,263.83,High-performance air suspension.,suspension,BrandE,17.49,7.92,"(0.57, 0.69, 0.62)","{'Steel': 73, 'Rubber': 23}",medium,1676.7,air
SU9887,SpringFlex 8,46,200.96,Durable air suspension.,suspension,BrandC,17.49,8.75,"(0.57, 0.53, 0.53)","{'Steel': 60, 'Rubber': 25}",medium,1356.7,air
