id,name,quantity,price,description,item_type,brand,vat,weight,dimensions,composition,durability,primary_color
PA9403,Sunset 6,40,54.19,Premium paint.,paint,BrandA,17.43,1.15,"(0.22, 0.21, 0.2)","{'Pigment': 59, 'Solvent': 30, 'Resin': 19}",medium,DAA520
PA4993,Ocean 2,24,59.5,High-durability paint.,paint,BrandC,17.59,1.12,"(0.24, 0.23, 0.28)","{'Pigment': 53, 'Solvent': 30, 'Resin': 12}",high,FF5733
PA6500,Sky 3,39,58.02,Matte paint.,paint,BrandB,17.42,1.14,"(0.24, 0.27, 0.21)","{'Pigment': 56, 'Solvent': 30, 'Resin': 10}",high,2F4F4F
PA8720,Blackout 4,8,38.88,Matte paint.,paint,BrandA,17.42,1.1,"(0.24, 0.29, 0.28)","{'Pigment': 57, 'Solvent': 30, 'Resin': 20}",undefined,DAA520
PA3793,Frost 1,4,43.44,High-durability paint.,paint,BrandA,17.57,1.33,"(0.22, 0.21, 0.22)","{'Pigment': 51, 'Solvent': 23, 'Resin': 16}",undefined,708090
PA7321,Frost 6,16,56.73,Matte paint.,paint,BrandB,17.54,1.26,"(0.27, 0.28, 0.21)","{'Pigment': 60, 'Solvent': 30, 'Resin': 15}",medium,DAA520
PA3268,Blackout 1,33,34.5,Glossy paint.,paint,BrandA,17.56,1.5,"(0.29, 0.27, 0.26)","{'Pigment': 58, 'Solvent': 28, 'Resin': 18}",high,F5F5F5
PA5903,Blackout 6,4,51.21,Matte paint.,paint,BrandB,17.48,1.16,"(0.22, 0.28, 0.23)","{'Pigment': 52, 'Solvent': 21, 'Resin': 19}",high,FF0000
PA6923,Sunset 1,20,42.86,Matte paint.,paint,BrandB,17.51,1.36,"(0.22, 0.24, 0.2)","{'Pigment': 59, 'Solvent': 27, 'Resin': 20}",medium,FF5733
PA8759,Frost 7,23,46.04,Matte paint.,paint,BrandA,17.59,1.45,"(0.29, 0.25, 0.28)","{'Pigment': 55, 'Solvent': 23, 'Resin': 15}",undefined,8B4513
PA2159,Ocean 7,12,58.23,Matte paint.,paint,BrandA,17.57,1.42,"(0.28, 0.23, 0.29)","{'Pigment': 50, 'Solvent': 24, 'Resin': 12}",undefined,D4AF37
PA9363,Sunset 2,30,37.77,Premium paint.,paint,BrandB,17.48,1.1,"(0.29, 0.22, 0.24)","{'Pigment': 60, 'Solvent': 23, 'Resin': 20}",low,708090
PA8278,Blackout 4,3,58.69,Premium paint.,paint,BrandA,17.55,1.24,"(0.25, 0.23, 0.21)","{'Pigment': 60, 'Solvent': 26, 'Resin': 11}",high,2F4F4F
PA1602,Ocean 1,28,44.95,High-durability paint.,paint,BrandB,17.46,1.42,"(0.24, 0.23, 0.24)","{'Pigment': 53, 'Solvent': 25, 'Resin': 14}",high,2F4F4F
PA3272,Frost 9,46,40.45,Premium paint.,paint,BrandA,17.55,1.14,"(0.26, 0.27, 0.3)","{'Pigment': 55, 'Solvent': 30, 'Resin': 11}",medium,2F4F4F
PA3086,Sunset 4,6,59.83,Glossy paint.,paint,BrandB,17.52,1.33,"(0.29, 0.21, 0.25)","{'Pigment': 58, 'Solvent': 27, 'Resin': 15}",medium,2F4F4F
PA9644,Ocean 9,7,49.27,Premium paint.,paint,BrandA,17.42,1.34,"(0.25, 0.25, 0.25)","{'Pigment': 60, 'Solvent': 22, 'Resin': 19}",high,2980B9
PA1966,Sky 9,45,54.17,Premium paint.,paint,BrandC,17.44,1.36,"(0.23, 0.22, 0.29)","{'Pigment': 51, 'Solvent': 27, 'Resin': 16}",undefined,2F4F4F
PA2832,Ocean 5,28,35.77,High-durability paint.,paint,BrandC,17.41,1.39,"(0.29, 0.3, 0.27)","{'Pigment': 54, 'Solvent': 27, 'Resin': 20}",medium,708090
PA9390,Frost 5,5,44.02,High-durability paint.,paint,BrandC,17.56,1.27,"(0.22, 0.24, 0.28)","{'Pigment': 55, 'Solvent': 29, 'Resin': 11}",high,2980B9
PA7521,Frost 2,27,51.35,High-durability paint.,paint,BrandA,17.5,1.03,"(0.22, 0.23, 0.25)","{'Pigment': 56, 'Solvent': 23, 'Resin': 14}",low,2F4F4F
PA8864,Frost 5,4,44.37,Premium paint.,paint,BrandB,17.48,1.5,"(0.23, 0.22, 0.23)","{'Pigment': 58, 'Solvent': 24, 'Resin': 18}",high,708090
PA8699,Ocean 7,32,32.63,Glossy paint.,paint,BrandC,17.48,1.05,"(0.24, 0.22, 0.23)","{'Pigment': 58, 'Solvent': 23, 'Resin': 15}",low,DAA520
PA3572,Ocean 5,33,37.15,Glossy paint.,paint,BrandB,17.51,1.41,"(0.21, 0.3, 0.24)","{'Pigment': 58, 'Solvent': 24, 'Resin': 10}",undefined,2980B9
PA3032,Ocean 7,7,32.75,High-durability paint.,paint,BrandA,17.46,1.21,"(0.29, 0.24, 0.29)","{'Pigment': 58, 'Solvent': 25, 'Resin': 11}",medium,FF0000
PA6047,Frost 2,41,31.85,Premium paint.,paint,BrandB,17.58,1.45,"(0.28, 0.21, 0.27)","{'Pigment': 50, 'Solvent': 28, 'Resin': 13}",medium,F5F5F5
PA1514,Sunset 2,27,46.76,Premium paint.,paint,BrandB,17.58,1.49,"(0.26, 0.23, 0.24)","{'Pigment': 60, 'Solvent': 26, 'Resin': 17}",undefined,8B4513
PA8613,Blackout 8,40,41.8,High-durability paint.,paint,BrandB,17.55,1.42,"(0.26, 0.26, 0.22)","{'Pigment': 59, 'Solvent': 22, 'Resin': 19}",high,D4AF37
PA8918,Frost 8,10,34.32,Premium paint.,paint,BrandC,17.41,1.3,"(0.24, 0.28, 0.2)","{'Pigment': 57, 'Solvent': 23, 'Resin': 20}",medium,D4AF37
PA3362,Ocean 8,25,44.77,Premium paint.,paint,BrandA,17.44,1.41,"(0.25, 0.23, 0.22)","{'Pigment': 59, 'Solvent': 26, 'Resin': 20}",undefined,FF5733
PA8820,Sky 7,29,51.48,Premium paint.,paint,BrandA,17.59,1.49,"(0.27, 0.27, 0.2)","{'Pigment': 57, 'Solvent': 30, 'Resin': 16}",low,2980B9
PA4267,Sky 4,30,33.55,Glossy paint.,paint,BrandB,17.46,1.47,"(0.23, 0.23, 0.22)","{'Pigment': 52, 'Solvent': 28, 'Resin': 10}",high,8B4513
PA4764,Blackout 3,47,42.36,Glossy paint.,paint,BrandA,17.51,1.37,"(0.21, 0.21, 0.26)","{'Pigment': 50, 'Solvent': 24, 'Resin': 11}",low,FF5733
PA8488,Ocean 9,1,43.35,Premium paint.,paint,BrandA,17.48,1.05,"(0.25, 0.29, 0.23)","{'Pigment': 54, 'Solvent': 20, 'Resin': 16}",high,F5DEB3
PA1420,Sky 8,6,53.01,Matte paint.,paint,BrandC,17.43,1.12,"(0.23, 0.3, 0.29)","{'Pigment': 55, 'Solvent': 23, 'Resin': 10}",low,FF5733
PA4091,Frost 1,36,53.56,Glossy paint.,paint,BrandB,17.52,1.47,"(0.26, 0.22, 0.28)","{'Pigment': 51, 'Solvent': 26, 'Resin': 19}",low,2F4F4F
PA1580,Blackout 1,20,36.11,Glossy paint.,paint,BrandA,17.54,1.12,"(0.26, 0.25, 0.21)","{'Pigment': 52, 'Solvent': 30, 'Resin': 20}",undefined,F5DEB3
PA1919,Ocean 6,2,37.65,Matte paint.,paint,BrandC,17.55,1.25,"(0.27, 0.24, 0.24)","{'Pigment': 51, 'Solvent': 24, 'Resin': 18}",medium,8B4513
PA7237,Ocean 3,9,33.99,High-durability paint.,paint,BrandB,17.49,1.22,"(0.24, 0.22, 0.23)","{'Pigment': 58, 'Solvent': 24, 'Resin': 19}",medium,F5DEB3
PA5360,Frost 2,1,57.4,Matte paint.,paint,BrandA,17.58,1.11,"(0.27, 0.27, 0.27)","{'Pigment': 58, 'Solvent': 27, 'Resin': 13}",medium,F5DEB3
PA7730,Ocean 7,2,35.47,Premium paint.,paint,BrandA,17.49,1.08,"(0.26, 0.22, 0.27)","{'Pigment': 51, 'Solvent': 26, 'Resin': 16}",low,F5DEB3
PA4573,Sunset 3,2,48.81,Premium paint.,paint,BrandA,17.42,1.06,"(0.26, 0.24, 0.29)","{'Pigment': 59, 'Solvent': 22, 'Resin': 10}",medium,708090
PA7692,Sunset 2,41,43.36,Premium paint.,paint,BrandA,17.56,1.12,"(0.26, 0.29, 0.25)","{'Pigment': 58, 'Solvent': 21, 'Resin': 12}",high,2980B9
PA3886,Sunset 5,47,43.03,Matte paint.,paint,BrandC,17.53,1.18,"(0.29, 0.2, 0.26)","{'Pigment': 57, 'Solvent': 30, 'Resin': 16}",low,FF5733
PA6422,Ocean 8,22,34.69,High-durability paint.,paint,BrandB,17.42,1.29,"(0.2, 0.27, 0.22)","{'Pigment': 54, 'Solvent': 26, 'Resin': 17}",undefined,D4AF37
PA4868,Ocean 4,10,55.31,High-durability paint.,paint,BrandC,17.5,1.28,"(0.22, 0.28, 0.29)","{'Pigment': 56, 'Solvent': 30, 'Resin': 19}",high,8B4513
PA3352,Blackout 1,19,59.78,Matte paint.,paint,BrandA,17.51,1.44,"(0.21, 0.23, 0.25)","{'Pigment': 56, 'Solvent': 21, 'Resin': 10}",high,708090
PA6006,Frost 4,48,43.27,Premium paint.,paint,BrandA,17.57,1.42,"(0.26, 0.21, 0.25)","{'Pigment': 55, 'Solvent': 25, 'Resin': 20}",low,708090
PA9548,Ocean 1,19,38.06,Premium paint.,paint,BrandB,17.56,1.31,"(0.28, 0.28, 0.3)","{'Pigment': 60, 'Solvent': 29, 'Resin': 11}",undefined,708090
PA8238,Frost 8,22,55.17,High-durability paint.,paint,BrandC,17.51,1.09,"(0.24, 0.23, 0.21)","{'Pigment': 54, 'Solvent': 23, 'Resin': 11}",high,2980B9
