id,name,quantity,price,description,item_type,brand,vat,weight,dimensions,composition,durability,max_stress,brake_type
BR7838,RoadSafe 1,44,105.55,Affordable ceramic brake.,brake,BrandA,17.52,3.64,"(0.5, 0.37, 0.47)","{'Metal': 73, 'Ceramic': 23}",medium,1405.3,ceramic
BR1682,MetalGrip 1,45,93.87,Affordable metal brake.,brake,BrandD,17.55,4.87,"(0.34, 0.47, 0.4)","{'Metal': 72, 'Ceramic': 30}",medium,1214.7,metal
BR1525,MetalGrip 8,25,121.45,Durable organic brake.,brake,BrandE,17.48,3.61,"(0.3, 0.31, 0.38)","{'Metal': 71, 'Ceramic': 12}",low,963.2,organic
BR9376,QuickBrake 8,15,86.33,Affordable organic brake.,brake,BrandD,17.57,2.52,"(0.32, 0.33, 0.44)","{'Metal': 90, 'Ceramic': 20}",low,1036.6,organic
BR4892,StopForce 6,48,122.12,Reliable metal brake.,brake,BrandA,17.54,2.05,"(0.4, 0.37, 0.5)","{'Metal': 84, 'Ceramic': 12}",low,1408.3,metal
BR9224,RoadSafe 1,12,98.25,Reliable metal brake.,brake,BrandA,17.51,2.46,"(0.41, 0.39, 0.31)","{'Metal': 71, 'Ceramic': 15}",medium,1074.2,metal
BR7597,QuickBrake 9,37,94.05,Reliable organic brake.,brake,BrandD,17.32,4.39,"(0.4, 0.48, 0.47)","{'Metal': 79, 'Ceramic': 21}",medium,1161.3,organic
BR7373,PowerStop 1,19,99.51,Affordable organic brake.,brake,BrandC,17.45,2.07,"(0.41, 0.33, 0.35)","{'Metal': 78, 'Ceramic': 30}",high,909.8,organic
BR4906,PowerStop 8,38,136.02,Affordable ceramic brake.,brake,BrandB,17.41,3.16,"(0.35, 0.5, 0.31)","{'Metal': 89, 'Ceramic': 25}",low,1082.0,ceramic
BR4412,MetalGrip 8,12,89.63,Affordable ceramic brake.,brake,BrandB,17.33,4.98,"(0.36, 0.35, 0.41)","{'Metal': 89, 'Ceramic': 25}",low,986.0,ceramic
BR9546,PowerStop 1,40,94.45,Durable metal brake.,brake,BrandE,17.57,2.08,"(0.4, 0.47, 0.46)","{'Metal': 87, 'Ceramic': 11}",low,1412.7,metal
BR7157,StopForce 2,24,145.36,Reliable organic brake.,brake,BrandA,17.48,4.6,"(0.37, 0.42, 0.35)","{'Metal': 77, 'Ceramic': 24}",high,906.6,organic
BR3670,PowerStop 8,27,84.37,Reliable semi_metallic brake.,brake,BrandE,17.57,2.67,"(0.49, 0.49, 0.38)","{'Metal': 83, 'Ceramic': 23}",high,1278.3,semi_metallic
BR4835,StopForce 2,2,125.94,Affordable ceramic brake.,brake,BrandB,17.44,2.66,"(0.48, 0.47, 0.3)","{'Metal': 80, 'Ceramic': 21}",high,1149.9,ceramic
BR5952,StopForce 5,36,144.67,Advanced ceramic brake.,brake,BrandC,17.5,3.38,"(0.46, 0.38, 0.34)","{'Metal': 78, 'Ceramic': 17}",high,1358.2,ceramic
BR3858,QuickBrake 6,17,140.96,Durable metal brake.,brake,BrandB,17.44,3.05,"(0.47, 0.33, 0.44)","{'Metal': 75, 'Ceramic': 24}",medium,1083.6,metal
BR6098,RoadSafe 4,45,146.64,Durable ceramic brake.,brake,BrandA,17.4,3.44,"(0.45, 0.43, 0.39)","{'Metal': 77, 'Ceramic': 17}",high,1405.6,ceramic
BR5208,RoadSafe 2,45,131.88,Affordable semi_metallic brake.,brake,BrandE,17.48,3.25,"(0.48, 0.39, 0.3)","{'Metal': 88, 'Ceramic': 12}",low,1410.6,semi_metallic
BR7253,RoadSafe 2,15,87.4,Affordable organic brake.,brake,BrandE,17.6,4.69,"(0.36, 0.42, 0.48)","{'Metal': 71, 'Ceramic': 20}",low,1352.9,organic
BR1612,StopForce 5,45,121.23,Durable metal brake.,brake,BrandA,17.51,4.18,"(0.41, 0.46, 0.48)","{'Metal': 78, 'Ceramic': 23}",medium,1324.5,metal
BR2656,QuickBrake 9,47,91.78,Affordable metal brake.,brake,BrandB,17.5,4.83,"(0.34, 0.41, 0.46)","{'Metal': 74, 'Ceramic': 27}",medium,920.7,metal
BR5506,QuickBrake 1,27,88.57,Durable ceramic brake.,brake,BrandC,17.4,2.67,"(0.34, 0.31, 0.3)","{'Metal': 86, 'Ceramic': 27}",medium,1181.0,ceramic
BR3996,MetalGrip 4,24,82.76,Advanced semi_metallic brake.,brake,BrandD,17.55,4.49,"(0.46, 0.48, 0.47)","{'Metal': 71, 'Ceramic': 10}",high,1453.3,semi_metallic
BR3241,StopForce 1,23,97.55,Durable metal brake.,brake,BrandE,17.45,2.7,"(0.32, 0.49, 0.45)","{'Metal': 80, 'Ceramic': 11}",high,1461.0,metal
BR4053,StopForce 9,26,104.44,Durable ceramic brake.,brake,BrandB,17.42,3.5,"(0.34, 0.42, 0.35)","{'Metal': 78, 'Ceramic': 23}",high,1363.2,ceramic
BR1289,PowerStop 8,17,107.44,Advanced metal brake.,brake,BrandA,17.58,4.78,"(0.36, 0.32, 0.37)","{'Metal': 85, 'Ceramic': 18}",medium,1145.0,metal
BR2683,MetalGrip 1,13,106.98,Reliable organic brake.,brake,BrandB,17.56,4.82,"(0.43, 0.41, 0.3)","{'Metal': 84, 'Ceramic': 11}",low,1291.6,organic
BR8921,RoadSafe 3,42,99.99,Affordable organic brake.,brake,BrandE,17.44,2.6,"(0.37, 0.31, 0.38)","{'Metal': 74, 'Ceramic': 30}",low,952.2,organic
BR1267,QuickBrake 6,31,100.62,Advanced organic brake.,brake,BrandA,17.51,2.76,"(0.36, 0.4, 0.31)","{'Metal': 86, 'Ceramic': 18}",high,1325.4,organic
BR2532,MetalGrip 5,27,141.23,Advanced organic brake.,brake,BrandD,17.37,3.05,"(0.48, 0.37, 0.34)","{'Metal': 77, 'Ceramic': 14}",low,1073.4,organic
BR9544,PowerStop 8,5,142.54,Reliable metal brake.,brake,BrandA,17.43,2.79,"(0.37, 0.32, 0.36)","{'Metal': 75, 'Ceramic': 30}",low,1155.9,metal
BR4514,StopForce 5,2,115.27,Advanced organic brake.,brake,BrandB,17.33,2.53,"(0.45, 0.33, 0.43)","{'Metal': 90, 'Ceramic': 11}",high,1089.0,organic
BR1785,StopForce 5,11,100.51,Affordable semi_metallic brake.,brake,BrandA,17.56,2.48,"(0.42, 0.4, 0.5)","{'Metal': 80, 'Ceramic': 24}",medium,1200.4,semi_metallic
BR5384,StopForce 8,1,147.25,Reliable semi_metallic brake.,brake,BrandA,17.49,3.65,"(0.37, 0.48, 0.36)","{'Metal': 70, 'Ceramic': 21}",high,1253.5,semi_metallic
BR9862,RoadSafe 9,25,95.67,Durable ceramic brake.,brake,BrandE,17.56,2.05,"(0.49, 0.35, 0.35)","{'Metal': 85, 'Ceramic': 28}",high,1259.5,ceramic
BR4721,MetalGrip 5,18,109.92,Durable organic brake.,brake,BrandE,17.59,2.65,"(0.36, 0.42, 0.38)","{'Metal': 81, 'Ceramic': 14}",low,1188.5,organic
BR5402,MetalGrip 6,7,121.2,Affordable organic brake.,brake,BrandC,17.35,2.98,"(0.4, 0.36, 0.4)","{'Metal': 72, 'Ceramic': 25}",medium,979.0,organic
BR5179,QuickBrake 1,19,80.03,Durable organic brake.,brake,BrandB,17.4,2.33,"(0.35, 0.37, 0.43)","{'Metal': 77, 'Ceramic': 15}",medium,1171.3,organic
BR8393,PowerStop 7,6,88.63,Affordable semi_metallic brake.,brake,BrandA,17.52,3.71,"(0.47, 0.36, 0.31)","{'Metal': 84, 'Ceramic': 19}",high,1267.6,semi_metallic
BR6479,PowerStop 2,33,147.63,Affordable metal brake.,brake,BrandB,17.47,2.72,"(0.4, 0.43, 0.43)","{'Metal': 77, 'Ceramic': 25}",high,921.7,metal
BR6975,PowerStop 6,37,120.9,Affordable metal brake.,brake,BrandE,17.51,3.45,"(0.44, 0.39, 0.3)","{'Metal': 83, 'Ceramic': 26}",medium,1406.1,metal
BR7223,MetalGrip 6,20,137.03,Reliable ceramic brake.,brake,BrandE,17.47,3.19,"(0.34, 0.39, 0.3)","{'Metal': 72, 'Ceramic': 12}",low,1497.4,ceramic
BR9943,QuickBrake 7,41,125.03,Affordable organic brake.,brake,BrandE,17.6,3.36,"(0.31, 0.46, 0.38)","{'Metal': 90, 'Ceramic': 16}",medium,1296.3,organic
BR3266,QuickBrake 3,9,134.42,Affordable semi_metallic brake.,brake,BrandE,17.53,3.53,"(0.45, 0.41, 0.43)","{'Metal': 86, 'Ceramic': 10}",medium,1039.7,semi_metallic
BR8797,RoadSafe 4,20,96.27,Durable ceramic brake.,brake,BrandA,17.52,3.08,"(0.36, 0.48, 0.46)","{'Metal': 75, 'Ceramic': 26}",low,953.6,ceramic
BR8775,MetalGrip 3,21,96.31,Advanced ceramic brake.,brake,BrandB,17.5,4.62,"(0.32, 0.3, 0.33)","{'Metal': 73, 'Ceramic': 19}",medium,918.6,ceramic
BR3514,StopForce 5,44,132.03,Reliable organic brake.,brake,BrandC,17.58,2.68,"(0.48, 0.36, 0.33)","{'Metal': 83, 'Ceramic': 14}",medium,998.6,organic
BR7493,RoadSafe 3,21,121.4,Durable semi_metallic brake.,brake,BrandC,17.59,4.55,"(0.44, 0.48, 0.46)","{'Metal': 79, 'Ceramic': 27}",high,1114.5,semi_metallic
BR6273,RoadSafe 2,2,120.15,Durable organic brake.,brake,BrandD,17.55,3.66,"(0.3, 0.39, 0.34)","{'Metal': 76, 'Ceramic': 30}",medium,931.2,organic
BR3870,MetalGrip 4,17,112.83,Reliable metal brake.,brake,BrandE,17.46,4.61,"(0.37, 0.47, 0.49)","{'Metal': 77, 'Ceramic': 21}",high,1232.4,metal
BR8888,PowerStop 3,10,102.76,Advanced organic brake.,brake,BrandC,17.35,3.48,"(0.42, 0.45, 0.37)","{'Metal': 72, 'Ceramic': 12}",low,1086.1,organic
