id,name,quantity,price,description,item_type,brand,vat,weight,dimensions,composition,durability,voltage,amperage,power_inout,avg_lifespan,temperature_rating,display_type
IN8081,InfoStar 4,1,226.84,Advanced infotainment system.,infotainment,BrandC,17.95,2.26,"(0.55, 0.78, 0.54)","{'Glass': 60, 'Plastic': 48}",undefined,5.4,1.2,6.48,3757,3,tft
IN2675,DriveVision 6,41,403.49,Feature-rich infotainment system.,infotainment,BrandA,17.08,2.51,"(0.57, 0.71, 0.75)","{'Glass': 55, 'Plastic': 48}",low,7.2,1.5,10.8,4764,52,tft
IN6526,DriveVision 1,49,353.17,High-resolution infotainment system.,infotainment,BrandD,17.87,2.13,"(0.82, 0.67, 0.85)","{'Glass': 50, 'Plastic': 46}",low,6.3,1.4,8.82,4734,38,tft
IN7576,DriveVision 8,17,263.68,Feature-rich infotainment system.,infotainment,BrandD,17.88,2.75,"(0.67, 0.83, 1.0)","{'Glass': 54, 'Plastic': 40}",low,6.0,2.7,16.2,3707,19,tft
IN4583,SmartDash 8,14,284.67,High-resolution infotainment system.,infotainment,BrandB,17.88,2.81,"(0.58, 0.69, 0.56)","{'Glass': 59, 'Plastic': 55}",medium,10.6,2.6,27.56,3363,14,led
IN5555,SmartDash 1,49,318.77,Compact infotainment system.,infotainment,BrandB,17.01,2.12,"(0.55, 0.54, 0.86)","{'Glass': 51, 'Plastic': 56}",medium,7.8,3.0,23.4,3567,44,tft
IN5814,AutoConnect 7,23,395.34,Advanced infotainment system.,infotainment,BrandD,17.22,2.37,"(0.55, 0.86, 0.7)","{'Glass': 50, 'Plastic': 53}",high,8.5,2.7,22.95,4788,55,lcd
IN4642,DriveVision 2,42,414.2,Compact infotainment system.,infotainment,BrandC,17.97,2.3,"(0.84, 0.7, 0.71)","{'Glass': 50, 'Plastic': 46}",medium,7.1,1.9,13.49,4124,33,led
IN1862,DriveVision 4,6,441.47,High-resolution infotainment system.,infotainment,BrandC,17.91,2.48,"(0.91, 0.54, 0.98)","{'Glass': 43, 'Plastic': 57}",undefined,7.4,2.8,20.72,3332,-10,lcd
IN9010,AutoConnect 7,30,213.32,Feature-rich infotainment system.,infotainment,BrandA,17.03,2.02,"(0.68, 0.54, 0.53)","{'Glass': 52, 'Plastic': 50}",undefined,7.4,1.6,11.84,2050,9,led
IN3394,DriveVision 1,16,402.26,Feature-rich infotainment system.,infotainment,BrandA,17.4,2.09,"(0.72, 0.57, 0.96)","{'Glass': 44, 'Plastic': 52}",high,6.9,1.3,8.97,4359,21,lcd
IN8368,SmartDash 1,38,416.42,Compact infotainment system.,infotainment,BrandC,17.37,2.5,"(0.82, 0.83, 0.53)","{'Glass': 60, 'Plastic': 41}",medium,10.3,1.7,17.51,3620,12,oled
IN1788,InfoStar 6,48,398.64,Compact infotainment system.,infotainment,BrandD,17.03,2.43,"(0.71, 0.58, 0.58)","{'Glass': 48, 'Plastic': 40}",undefined,7.7,1.2,9.24,4506,40,led
IN1632,SmartDash 4,35,388.02,Feature-rich infotainment system.,infotainment,BrandB,17.11,2.77,"(0.87, 0.65, 0.78)","{'Glass': 40, 'Plastic': 42}",low,7.2,1.2,8.64,4449,51,lcd
IN9157,SmartDash 8,1,484.63,Advanced infotainment system.,infotainment,BrandA,17.07,2.92,"(0.87, 0.85, 0.6)","{'Glass': 46, 'Plastic': 46}",medium,8.6,2.9,24.94,3112,-3,led
IN2789,InfoStar 9,33,485.47,Compact infotainment system.,infotainment,BrandD,17.11,2.82,"(0.99, 0.85, 0.52)","{'Glass': 57, 'Plastic': 53}",undefined,5.4,2.7,14.58,3575,14,lcd
IN2011,SmartDash 1,33,261.78,Advanced infotainment system.,infotainment,BrandA,17.31,2.29,"(0.63, 0.79, 0.93)","{'Glass': 46, 'Plastic': 58}",high,5.8,2.1,12.18,3660,45,lcd
IN9411,SmartDash 2,35,248.32,Compact infotainment system.,infotainment,BrandD,17.81,2.98,"(0.8, 0.61, 0.94)","{'Glass': 46, 'Plastic': 43}",undefined,8.9,2.0,17.8,3334,0,tft
IN1342,SmartDash 2,50,265.17,Advanced infotainment system.,infotainment,BrandD,17.09,2.59,"(0.79, 0.79, 0.9)","{'Glass': 60, 'Plastic': 58}",medium,8.2,2.2,18.04,3017,57,oled
IN8885,InfoStar 3,23,242.24,Feature-rich infotainment system.,infotainment,BrandD,17.86,2.56,"(0.89, 0.99, 0.94)","{'Glass': 42, 'Plastic': 49}",medium,6.7,2.6,17.42,4294,37,lcd
IN8300,InfoStar 3,9,246.16,High-resolution infotainment system.,infotainment,BrandB,17.24,2.92,"(0.7, 0.64, 0.97)","{'Glass': 47, 'Plastic': 41}",undefined,10.3,2.2,22.66,2515,13,oled
IN7562,SmartDash 8,20,465.48,Feature-rich infotainment system.,infotainment,BrandC,17.36,2.28,"(0.52, 0.68, 0.72)","{'Glass': 53, 'Plastic': 52}",undefined,10.5,1.2,12.6,2792,3,led
IN1322,InfoStar 9,14,449.58,Advanced infotainment system.,infotainment,BrandA,17.05,2.52,"(0.66, 0.95, 0.98)","{'Glass': 55, 'Plastic': 60}",undefined,10.2,1.9,19.38,4075,-5,oled
IN3558,InfoStar 1,48,220.04,Compact infotainment system.,infotainment,BrandB,17.83,2.55,"(0.51, 0.92, 0.96)","{'Glass': 42, 'Plastic': 60}",high,8.8,2.6,22.88,2886,58,lcd
IN3726,DriveVision 6,18,420.92,Advanced infotainment system.,infotainment,BrandA,17.24,2.37,"(0.59, 0.77, 0.64)","{'Glass': 46, 'Plastic': 41}",undefined,10.9,2.5,27.25,4779,8,led
IN1077,SmartDash 2,34,386.92,Advanced infotainment system.,infotainment,BrandA,17.5,2.24,"(0.95, 0.77, 0.74)","{'Glass': 53, 'Plastic': 46}",high,8.7,1.9,16.53,3800,57,led
IN1330,InfoStar 6,4,403.81,Feature-rich infotainment system.,infotainment,BrandB,17.02,2.5,"(0.66, 0.66, 0.95)","{'Glass': 45, 'Plastic': 50}",low,8.2,2.6,21.32,4178,-5,led
IN3838,SmartDash 2,2,445.46,Advanced infotainment system.,infotainment,BrandA,17.22,2.12,"(0.84, 0.71, 0.84)","{'Glass': 56, 'Plastic': 42}",undefined,11.2,3.0,33.6,4346,-8,lcd
IN5764,SmartDash 3,24,230.57,High-resolution infotainment system.,infotainment,BrandA,17.55,2.37,"(0.7, 0.75, 0.6)","{'Glass': 51, 'Plastic': 56}",medium,11.4,2.6,29.64,2488,29,tft
IN2292,AutoConnect 9,5,286.34,Compact infotainment system.,infotainment,BrandC,17.55,2.66,"(0.84, 1.0, 0.9)","{'Glass': 44, 'Plastic': 57}",undefined,9.4,2.6,24.44,4737,21,tft
IN2269,DriveVision 5,1,452.21,Feature-rich infotainment system.,infotainment,BrandA,17.09,2.35,"(0.71, 0.99, 0.56)","{'Glass': 44, 'Plastic': 45}",undefined,8.1,2.2,17.82,3010,53,oled
IN8940,SmartDash 6,44,213.26,Advanced infotainment system.,infotainment,BrandB,17.64,2.39,"(0.98, 0.95, 0.78)","{'Glass': 60, 'Plastic': 53}",low,8.6,1.7,14.62,4039,56,oled
IN8926,InfoStar 3,38,332.79,Feature-rich infotainment system.,infotainment,BrandA,17.89,2.05,"(0.62, 0.67, 0.99)","{'Glass': 52, 'Plastic': 59}",high,9.7,1.5,14.55,2285,32,tft
IN9747,AutoConnect 1,16,477.48,Feature-rich infotainment system.,infotainment,BrandA,17.05,2.79,"(0.51, 0.96, 0.77)","{'Glass': 51, 'Plastic': 40}",low,9.6,2.7,25.92,3524,4,led
IN8043,SmartDash 6,34,253.07,Feature-rich infotainment system.,infotainment,BrandD,17.2,2.45,"(0.51, 0.76, 0.75)","{'Glass': 58, 'Plastic': 53}",high,6.7,2.4,16.08,2485,-10,oled
